Feature,Mean |SHAP|
cat__CoverType_8.5419,0.0
cat__CoverType_8.564,0.0
cat__CoverType_8.5971,0.0
cat__CoverType_8.6742,0.0
cat__CoverType_8.7569,0.0
cat__CoverType_803.3252,0.0
cat__CoverType_804.0011,0.0
cat__CoverType_807.0144,0.0
cat__CoverType_807.8676,0.0
cat__CoverType_809.1665,0.0
cat__CoverType_811.6259,0.0
cat__CoverType_882.7447,0.0
cat__CoverType_886.8873,0.0
cat__CoverType_8.2201,0.0
cat__CoverType_965.3737,0.0
cat__CoverType_929.6806,0.0
cat__CoverType_929.7173,0.0
cat__CoverType_931.2793,0.0
cat__CoverType_940.7483,0.0
cat__CoverType_941.9658,0.0
cat__CoverType_943.2077,0.0
cat__CoverType_944.4375,0.0
cat__CoverType_947.2044,0.0
cat__CoverType_948.5878,0.0
cat__CoverType_953.8142,0.0
cat__CoverType_957.734,0.0
cat__CoverType_959.0926,0.0
cat__CoverType_959.1943,0.0
cat__CoverType_967.8024,0.0
cat__CoverType_887.7159,0.0
cat__CoverType_973.4131,0.0
cat__CoverType_974.4584,0.0
cat__CoverType_977.0255,0.0
cat__CoverType_979.9461,0.0
cat__CoverType_987.7857,0.0
cat__CoverType_988.1776,0.0
cat__CoverType_989.9377,0.0
cat__CoverType_993.6141,0.0
cat__CoverType_997.685,0.0
cat__CoverType_999.937,0.0
cat__CoverType_Mobility - Trailers,0.0
cat__CoverType_Own Damage.,0.0
cat__CoverType_Own damage,0.0
cat__CoverType_926.9137,0.0
cat__CoverType_926.6285,0.0
cat__CoverType_926.2071,0.0
cat__CoverType_925.9914,0.0
cat__CoverType_888.7304,0.0
cat__CoverType_889.0993,0.0
cat__CoverType_889.1586,0.0
cat__CoverType_890.967,0.0
cat__CoverType_891.2283,0.0
cat__CoverType_891.5895,0.0
cat__CoverType_893.0345,0.0
cat__CoverType_895.0174,0.0
cat__CoverType_895.248,0.0
cat__CoverType_897.0926,0.0
cat__CoverType_897.1848,0.0
cat__CoverType_897.2156,0.0
cat__CoverType_897.7075,0.0
cat__CoverType_899.757,0.0
cat__CoverType_9.1327,0.0
cat__CoverType_90,0.0
cat__CoverType_901.1507,0.0
cat__CoverType_906.6846,0.0
cat__CoverType_908.0834,0.0
cat__CoverType_908.5292,0.0
cat__CoverType_910.0048,0.0
cat__CoverType_911.0007,0.0
cat__CoverType_912.5873,0.0
cat__CoverType_917.3064,0.0
cat__CoverType_919.8427,0.0
cat__CoverType_921.4414,0.0
cat__CoverType_922.3022,0.0
cat__CoverType_8.2333,0.0
cat__CoverType_8.2113,0.0
cat__CoverType_63.3716,0.0
cat__CoverType_7.3075,0.0
cat__CoverType_7.1003,0.0
cat__CoverType_7.1201,0.0
cat__CoverType_7.1289,0.0
cat__CoverType_7.1521,0.0
cat__CoverType_7.1587,0.0
cat__CoverType_7.1642,0.0
cat__CoverType_7.1697,0.0
cat__CoverType_7.1863,0.0
cat__CoverType_7.1885,0.0
cat__CoverType_7.2009,0.0
cat__CoverType_7.2755,0.0
cat__CoverType_7.2844,0.0
cat__CoverType_337.2672,0.0
cat__CoverType_7.3323,0.0
cat__CoverType_7.518,0.0
cat__CoverType_7.3351,0.0
cat__CoverType_7.3725,0.0
cat__CoverType_7.3846,0.0
cat__CoverType_7.4045,0.0
cat__CoverType_7.4067,0.0
cat__CoverType_7.41,0.0
cat__CoverType_7.4265,0.0
cat__CoverType_7.4331,0.0
cat__CoverType_7.4398,0.0
cat__CoverType_7.4409,0.0
cat__CoverType_7.4927,0.0
cat__CoverType_7.4949,0.0
cat__CoverType_7.5004,0.0
cat__CoverType_7.0981,0.0
cat__CoverType_7.0804,0.0
cat__CoverType_7.0528,0.0
cat__CoverType_7.043,0.0
cat__CoverType_630.2398,0.0
cat__CoverType_631.2646,0.0
cat__CoverType_64.1751,0.0
cat__CoverType_64.4841,0.0
cat__CoverType_642.4091,0.0
cat__CoverType_644.1512,0.0
cat__CoverType_648.3016,0.0
cat__CoverType_649.0008,0.0
cat__CoverType_65.5142,0.0
cat__CoverType_652.7158,0.0
cat__CoverType_655.8593,0.0
cat__CoverType_656.2693,0.0
cat__CoverType_662.008,0.0
